0;Ana Santos;2023005010001;12345678910;1
0;Bruno Almeida;2023005010002;23456789021;1
0;Carla Fernandes;2023005010003;34567890132;1
0;Daniel Costa;2023005010004;45678901243;0
0;Elisa Silva;2023005010005;56789012354;0
0;Fabio Oliveira;2023005010006;67890123465;0
0;Gabriela Rodrigues;2023005010007;78901234576;0
0;Henrique Nunes;2023005010008;89012345687;0
0;Isabela Cardoso;2023005010009;90123456798;0
0;Joao Santos;2023005010010;01234567809;0
1;Karina Souza;2023005010011;22333444000155;0
1;Lucas Lima;2023005010012;33444555000166;0
1;Marcela Pereira;2023005010013;44555666000177;0
1;Natalia Torres;2023005010014;55666777000188;0
1;Otavio Fernandes;2023005010015;66777888000199;0
1;Paola Sousa;2023005010016;77888999000100;0
1;Rafaela Silva;2023005010017;88999000000111;0
1;Samuel Ribeiro;2023005010018;99000111000122;0
1;Taina Oliveira;2023005010019;10111222000133;0
1;Ulisses Ferreira;2023005010020;11222333000144;0
1;Vanessa Costa;2023005010021;22333444000155;0
1;Wellington Santos;2023005010022;33444555000166;0
1;Ximena Alvarez;2023005010023;44555666000177;0
1;Yuri Martins;2023005010024;55666777000188;0
1;Zara Castro;2023005010025;66777888000199;0
1;Andrea Alves;2023005010026;77888999000100;0
1;Beatriz Rodrigues;2023005010027;88999000000111;0
1;Carlos Eduardo;2023005010028;99000111000122;0
1;Debora Oliveira;2023005010029;10111222000133;0
1;Erica Miranda;2023005010030;11222333000144;0
